"","DC0","DBH0","TPH0","DCt"
"175",2,5.7,667.9037715382,6
"176",2,7.1,535.3521324588,6
"177",3,10.1,519.1948458552,6
"178",2,5.2,2936.7183643116,6
"179",2,14.6,2098.4425252556,6
"180",1,8.3,504.3239532869,6
"181",1,6.8,504.3239532869,6
"182",1,5.9,504.3239532869,6
"183",2,11.9,44.6126777049,6
"184",2,5.7,1416.9542551844,6
"185",2,6.4,505.6103473222,6
"186",1,9,3365.4014607217,6
"187",3,5.5,2128.1843103922,6
"188",3,5.4,2128.1843103922,6
"189",2,5.1,995.063408040801,6
"190",1,8.7,986.984764739001,6
"191",3,7.2,846.354482357801,6
"192",2,8.6,801.741804652901,6
"193",1,12.3,1638.7312496736,6
"194",1,5.4,304.2101006325,6
"195",2,7.6,682.7746641065,6
"196",2,6.9,890.9671600627,6
"197",1,7.4,809.820447954701,6
"198",3,15.2,8655.01419707531,6
"199",2,5.8,1402.0833626161,6
"200",2,9.5,252.8051736611,6
"201",1,10.5,1291.1948653715,6
"202",2,5.9,1039.6760857457,6
"203",3,12.3,578.6784161284,6
"204",1,10.3,2675.8345473487,6
"205",3,6.1,578.6784161284,6
"206",1,5.6,801.741804652901,6
"207",3,6.8,705.7241999766,6
"208",2,11.5,1431.8251477527,6
"209",1,7.7,993.777014005501,6
"210",5,5.6,1853.7159948963,6
"211",4,18.1,1727.9566050834,6
"212",2,5.5,1150.5645829903,6
"213",2,12.9,505.6103473222,6
"214",3,5.4,1898.3286726012,6
"215",1,8.6,2831.3357222982,6
"216",1,7.9,438.0481337472,6
"217",1,5.3,927.5011944658,6
"218",1,5.3,1016.7265498756,6
"219",2,5.1,1016.7265498756,6
"220",1,9.4,1016.7265498756,6
"221",2,5.3,1016.7265498756,6
"222",1,5.3,1016.7265498756,6
"223",3,6.5,1003.1420513426,6
"224",3,7.4,401.5140993441,6
"225",1,15.2,2432.3944110247,6
"226",1,13.2,2432.3944110247,6
"227",2,8.4,1565.6631808674,6
"228",3,8.2,853.1467316243,6
"229",3,6,1009.9343006091,6
"230",3,14.9,719.3086985096,6
"231",2,7.3,719.3086985096,6
"232",2,12.8,993.777014005501,6
"233",1,8.1,705.7241999766,6
"234",1,5.1,675.98241484,6
"235",1,5.7,1172.2277248251,6
"236",1,11.9,1253.3744369331,6
"237",4,11.5,1253.3744369331,6
"238",3,26.1,193.3216033879,6
"239",2,17.5,333.9518857691,6
"240",2,13.4,333.9518857691,6
"241",2,10,333.9518857691,6
"242",2,12,386.6432067758,6
"243",1,10.4,386.6432067758,6
"244",3,8.9,838.275839056,6
