"","DC0","DBH0","TPH0","DCt"
"750",3,9.2,1645.5234989401,6
"751",3,12.7,475.8685621856,6
"752",2,5.9,579.9648101637,6
"753",3,8.1,386.6432067758,6
"754",4,10.7,786.8709120846,6
"755",3,5.7,1031.5974424439,6
"756",3,8.6,1038.3896917104,6
"757",3,6.6,1038.3896917104,6
"758",4,15,512.4025965887,6
"759",3,6.5,1742.8274976517,6
"760",3,8.6,853.146731624301,6
"761",3,5.4,1053.2605842787,6
"762",4,7.8,1231.7112950983,6
"763",3,11.7,1231.7112950983,6
"764",3,15,1172.2277248251,6
"765",5,5.5,809.820447954701,6
"766",3,10.2,1891.5364233347,6
"767",4,16.2,823.4049464877,6
"768",3,7.7,1329.0152938099,6
"769",3,7.2,1165.4354755586,6
"770",3,5.6,74.3544628415,6
"771",3,13.7,3016.5786823843,6
"772",3,9.3,4173.9355146411,6
"773",1,6.4,682.7746641065,6
"774",2,5.8,3002.9941838513,6
"775",2,5.4,378.564563474,6
"776",3,11.9,1623.8603571053,6
"777",4,6,616.4988445668,6
"778",3,8,616.4988445668,6
"779",3,5.6,1254.6608309684,6
"780",2,14.6,2662.2500488157,6
"781",3,5,1195.1772606952,6
"782",3,10,1031.5974424439,6
"783",2,6.3,905.838052631,6
"784",2,11,905.838052631,6
"785",3,6.1,1846.9237456298,6
"786",3,5,1846.9237456298,6
"787",3,8,1484.5164687594,6
"788",4,7.2,1484.5164687594,6
"789",2,14.9,2305.3486271765,6
"790",2,5,1343.8861863782,6
"791",2,5.5,2483.7993379961,6
"792",2,7.5,1506.1796105942,6
"793",5,11.8,2321.5059137801,6
"794",3,9.9,904.5516585957,6
"795",3,6.7,2151.1338462623,6
"796",2,7.7,1832.0528530615,6
"797",2,5.9,1832.0528530615,6
"798",2,6.3,1898.3286726012,6
"799",3,7.2,1898.3286726012,6
"800",3,6.4,1898.3286726012,6
"801",2,8.7,1742.8274976517,6
"802",2,7.3,557.0152742936,6
"803",3,6.4,1566.9495749027,6
"804",2,5.1,1566.9495749027,6
"805",3,8.2,1566.9495749027,6
"806",3,7.7,1566.9495749027,6
"807",2,9.5,1461.5669328893,6
"808",2,6,897.759409329201,6
"809",2,6.6,1972.6831354427,6
"810",3,6.3,497.5317040204,6
"811",4,9,497.5317040204,6
"812",2,10.3,497.5317040204,6
"813",1,5.3,4195.5986564759,6
"814",2,5.7,1965.8908861762,6
"815",2,5.3,297.417851366,6
"816",2,6.1,297.417851366,6
"817",2,5.4,2372.9108407515,6
"818",2,5.7,2372.9108407515,6
"819",2,6.8,889.6807660274,6
"820",3,13,889.6807660274,6
"821",2,5.5,1773.8556768236,6
"822",3,5.7,1773.8556768236,6
"823",2,10.9,1031.5974424439,6
"824",2,7.3,3950.8721261166,6
"825",1,8.3,505.6103473222,6
"826",1,5.8,505.6103473222,6
"827",3,5.8,1431.8251477527,6
"828",2,16.3,3381.5587473253,6
"829",2,8.7,1631.9390004071,6
"830",3,7,1861.7946381981,6
"831",2,6.3,1744.113891687,6
"832",4,8.9,363.6936709057,6
"833",3,5.7,363.6936709057,6
"834",2,5.7,2862.3639014701,6
"835",3,7.4,1492.5951120612,6
"836",4,5.5,608.420201265,6
"837",3,7.8,608.420201265,6
"838",3,10.2,623.2910938333,6
"839",2,7.5,2358.0399481832,6
"840",2,5.9,1602.1972152705,6
"841",3,10.8,1602.1972152705,6
"842",2,5.3,1379.133826746,6
"843",4,6.1,2268.8145927734,6
"844",2,11.3,1150.5645829903,6
"845",3,5.5,297.417851366,6
"846",2,6.2,438.0481337472,6
"847",4,7.7,1823.9742097597,6
"848",2,5.2,1297.987114638,6
"849",2,5.4,1297.987114638,6
"850",1,6.1,5915.4766182575,6
"851",4,12.2,1772.5692827883,6
"852",3,10.4,1097.8732619836,6
"853",3,5.7,1097.8732619836,6
"854",3,13.6,371.7723142075,6
"855",1,9.4,319.0809932008,2
"856",1,15.2,252.8051736611,3
"857",3,9.9,1425.0328984862,3
"858",1,5.5,661.1115222717,3
"859",2,7,1150.5645829903,2
"860",2,7.2,1617.0681078388,2
"861",2,5.1,1913.1995651695,2
"862",1,9.5,1913.1995651695,3
"863",1,8.7,1913.1995651695,2
"864",2,7.5,869.304018227901,2
"865",3,6.1,942.372087034101,3
"866",2,5.5,482.6608114521,3
"867",3,8.3,565.0939175954,3
"868",3,7.9,1906.407315903,3
"869",4,18,423.1772411789,4
"870",1,7,586.7570594302,2
"871",2,5.2,446.126777049,3
"872",2,7.6,2654.1714055139,2
"873",1,6.3,2275.6068420399,3
"874",2,6,2275.6068420399,3
"875",2,13.5,2098.4425252556,4
"876",2,8.4,1238.5035443648,2
"877",2,6.3,557.0152742936,2
"878",1,5.2,882.8885167609,3
"879",1,5.3,1439.9037910545,2
"880",2,12.6,2121.3920611257,2
"881",1,9.9,2121.3920611257,2
"882",2,10.1,2905.6901851397,3
"883",1,8.1,1218.1267965653,2
"884",1,15.7,1223.6326517965,3
"885",2,5.7,1491.3087180259,2
"886",2,9.1,861.225374926101,2
"887",2,9.9,1625.1467511406,4
"888",1,6.2,1625.1467511406,3
"889",2,5.2,2306.6350212118,2
"890",2,5.2,2306.6350212118,2
"891",2,7.4,1558.8709316009,3
"892",2,6.3,1223.6326517965,3
"893",2,8.2,1223.6326517965,2
"894",2,5.2,1327.7288997746,2
"895",2,10.7,2098.4425252556,2
"896",3,5.7,3047.6068615562,3
"897",1,7.7,958.529373637701,2
"898",1,10.5,1596.6913600393,3
"899",2,5.4,667.9037715382,2
"900",1,5.1,4862.2160339788,1
"901",2,6.6,2356.7535541479,2
"902",2,12.7,1306.0657579398,2
"903",3,7.2,3395.1432458583,3
"904",2,7.2,3395.1432458583,2
"905",2,7.6,3395.1432458583,2
"906",3,10.5,393.4354560423,3
"907",2,5.8,778.7922687828,3
"908",1,8.7,778.7922687828,2
"909",3,8.9,327.1596365026,3
"910",1,5.5,1484.5164687594,1
"911",2,13.7,1291.1948653715,2
"912",1,8.9,1291.1948653715,2
"913",1,7.8,1291.1948653715,2
"914",2,6,1972.6831354427,2
"915",2,5.5,1446.696040321,2
"916",1,7.3,1446.696040321,2
"917",1,5.8,2151.1338462623,2
"918",4,11.9,1817.1819604932,4
"919",2,6.6,1260.1666861996,2
"920",1,13.4,237.9342810928,3
"921",2,8,1268.2453295014,3
"922",2,6.6,2602.7664785425,2
"923",3,5.8,1631.9390004071,3
"924",1,5.7,794.9495553864,2
"925",2,9.4,1304.7793639045,3
"926",3,15.2,623.2910938333,3
"927",3,9.9,1580.5340734357,3
"928",3,5.5,446.126777049,5
"929",2,7,935.579837767601,2
"930",2,7,1268.2453295014,3
"931",2,5,2654.1714055139,3
"932",3,9.2,2654.1714055139,3
"933",2,8.1,2654.1714055139,3
"934",2,7.4,839.562233091301,2
"935",3,6.1,452.9190263155,3
"936",3,5.5,1594.1185719687,3
"937",3,8.2,690.8533074083,3
"938",3,7.6,1691.4225706803,3
"939",4,18,423.1772411789,4
"940",2,6.9,342.0305290709,3
"941",3,5.2,446.126777049,3
"942",2,7.6,2624.4296203773,2
"943",3,6.3,1579.2476794004,3
"944",3,6,1579.2476794004,3
"945",4,12.1,1423.7465044509,4
"946",2,8.4,2024.0880624141,3
"947",2,6.2,356.9014216392,3
"948",3,5.1,972.113872170701,3
"949",2,5.1,1254.6608309684,3
"950",2,12.6,2121.3920611257,2
"951",2,10.1,2121.3920611257,3
"952",3,10.1,2098.4425252556,4
"953",2,8.1,1343.8861863782,2
"954",3,15.7,1608.989464537,3
"955",2,5.1,1491.3087180259,3
"956",2,8.8,905.838052631,3
"957",4,9.1,1425.0328984862,4
"958",3,6.2,1425.0328984862,4
"959",2,5.1,2076.7793834208,3
"960",2,5.2,2076.7793834208,3
"961",3,7.2,1343.8861863782,4
"962",3,6.3,1512.9718598607,3
"963",2,8,1512.9718598607,3
"964",2,5,1942.9413503061,3
"965",2,10.6,1727.9566050834,3
"966",3,5.7,2832.6221163335,4
"967",2,7.6,788.157306119901,3
"968",3,10.2,1566.9495749027,4
"969",2,5.4,897.759409329201,2
"970",1,5.1,4195.5986564759,2
"971",2,6.5,1690.136176645,2
"972",2,12.8,1565.6631808674,2
"973",3,7,3506.0317431029,3
"974",2,7.2,3506.0317431029,3
"975",2,7.1,3506.0317431029,3
"976",3,10.4,593.5493086967,4
"977",3,5.7,1008.6479065738,3
"978",2,8.5,1008.6479065738,3
"979",3,8.9,327.1596365026,3
"980",1,5.2,1469.6455761911,3
"981",2,13.6,1631.9390004071,3
"982",2,8.9,1631.9390004071,3
"983",2,7.7,1631.9390004071,3
"984",2,5.9,1861.7946381981,2
"985",2,5.5,1602.1972152705,4
"986",2,7.3,1602.1972152705,3
"987",2,5.7,1379.133826746,2
"988",4,7.3,1787.4401753566,4
"989",2,6.3,1460.280538854,3
"990",3,13.1,371.7723142075,3
"991",3,8,912.6303018975,3
"992",2,6.6,2743.3967609237,3
"993",3,5.7,2291.7641286435,3
"994",2,5.7,794.949555386401,3
"995",3,9.3,2075.4929893855,6
"996",3,14,638.1619864016,6
"997",3,9.9,1876.6655307664,6
"998",5,5.3,386.6432067758,6
"999",2,6.7,861.2253749261,6
"1000",3,6.9,986.984764739001,6
"1001",3,5,2624.4296203773,6
"1002",3,9,2624.4296203773,6
"1003",3,8.1,2624.4296203773,6
"1004",2,7.3,705.7241999766,6
"1005",3,6.1,267.6760662294,6
"1006",3,5.5,2320.2195197448,6
"1007",3,8.1,861.225374926101,6
"1008",3,7.6,1535.9213957308,6
"1009",4,14.7,423.1772411789,6
"1010",3,6.8,312.2887439343,6
"1011",3,8.4,1809.1033171914,6
"1012",3,5.6,401.5140993441,6
"1013",3,5.1,920.7089451993,6
"1014",3,5.1,1054.546978314,6
"1015",2,12.5,2491.8779812979,6
"1016",3,10,2491.8779812979,6
"1017",4,9.3,1727.9566050834,6
"1018",2,8,1314.1444012416,6
"1019",3,14.2,2164.7183447953,6
"1020",3,5.1,1491.3087180259,6
"1021",3,8.5,816.612697221201,6
"1022",4,9,1425.0328984862,6
"1023",4,6.1,1425.0328984862,6
"1024",3,5.1,1921.2782084713,6
"1025",3,5,1921.2782084713,6
"1026",4,6.8,935.579837767601,6
"1027",3,6.2,1031.5974424439,6
"1028",3,7.9,1031.5974424439,6
"1029",3,5,1817.1819604932,6
"1030",3,10.6,1572.4554301339,6
"1031",4,5.5,2832.6221163335,6
"1032",3,7.8,788.157306119901,6
"1033",4,9.9,1351.96482968,6
"1034",2,5.1,1238.5035443648,6
"1035",2,6.5,1683.3439273785,6
"1036",2,12.5,1550.7922882991,6
